"['2023-07-07', '07:11:05', '79', '252']"
"['2023-07-07', '07:11:06', '76', '233']"
"['2023-07-07', '07:11:07', '77', '234']"
"['2023-07-07', '07:11:08', '77', '234']"
"['2023-07-07', '07:11:09', '230', '388']"
"['2023-07-07', '07:11:10', '132', '296']"
"['2023-07-07', '07:11:11', '124', '282']"
"['2023-07-07', '07:11:12', '77', '235']"
"['2023-07-07', '07:11:13', '78', '234']"
"['2023-07-07', '07:11:14', '80', '234']"
"['2023-07-07', '07:11:15', '116', '260']"
"['2023-07-07', '07:11:16', '77', '236']"
"['2023-07-07', '07:11:17', '100', '261']"
"['2023-07-07', '07:11:18', '89', '245']"
"['2023-07-07', '07:11:19', '235', '385']"
"['2023-07-07', '07:11:20', '77', '237']"
"['2023-07-07', '07:11:21', '84', '240']"
"['2023-07-07', '07:11:22', '80', '235']"
"['2023-07-07', '07:11:23', '78', '237']"
"['2023-07-07', '07:11:24', '78', '234']"
"['2023-07-07', '07:11:25', '82', '237']"
"['2023-07-07', '07:11:26', '76', '235']"
"['2023-07-07', '07:11:27', '77', '238']"
"['2023-07-07', '07:11:28', '77', '237']"
"['2023-07-07', '07:11:29', '80', '234']"
"['2023-07-07', '07:11:30', '93', '236']"
"['2023-07-07', '07:11:31', '78', '233']"
"['2023-07-07', '07:11:32', '78', '234']"
"['2023-07-07', '07:11:33', '80', '233']"
"['2023-07-07', '07:11:34', '77', '236']"
"['2023-07-07', '07:11:35', '78', '235']"
"['2023-07-07', '07:11:36', '77', '236']"
"['2023-07-07', '07:11:37', '79', '235']"
"['2023-07-07', '07:11:38', '79', '236']"
"['2023-07-07', '07:11:39', '76', '247']"
"['2023-07-07', '07:11:40', '121', '277']"
"['2023-07-07', '07:11:41', '84', '234']"
"['2023-07-07', '07:11:42', '80', '235']"
"['2023-07-07', '07:11:43', '101', '263']"
"['2023-07-07', '07:11:44', '76', '237']"
"['2023-07-07', '07:11:45', '79', '236']"
"['2023-07-07', '07:11:46', '79', '235']"
"['2023-07-07', '07:11:47', '78', '234']"
"['2023-07-07', '07:11:48', '79', '237']"
"['2023-07-07', '07:11:49', '80', '235']"
"['2023-07-07', '07:11:50', '77', '266']"
"['2023-07-07', '07:11:52', '76', '237']"
"['2023-07-07', '07:11:53', '79', '236']"
"['2023-07-07', '07:11:54', '77', '236']"
"['2023-07-07', '07:11:55', '81', '241']"
"['2023-07-07', '07:11:56', '90', '246']"
"['2023-07-07', '07:11:57', '77', '236']"
"['2023-07-07', '07:11:58', '82', '235']"
"['2023-07-07', '07:11:59', '78', '237']"
"['2023-07-07', '07:12:00', '132', '291']"
"['2023-07-07', '07:12:01', '78', '236']"
"['2023-07-07', '07:12:02', '77', '237']"
"['2023-07-07', '07:12:03', '77', '235']"
"['2023-07-07', '07:12:04', '77', '236']"
"['2023-07-07', '07:12:05', '78', '235']"
"['2023-07-07', '07:12:06', '136', '294']"
"['2023-07-07', '07:12:07', '120', '356']"
"['2023-07-07', '07:12:08', '77', '241']"
"['2023-07-07', '07:12:09', '79', '235']"
"['2023-07-07', '07:12:10', '79', '240']"
"['2023-07-07', '07:12:11', '80', '235']"
"['2023-07-07', '07:12:12', '78', '237']"
"['2023-07-07', '07:12:13', '78', '239']"
"['2023-07-07', '07:12:14', '79', '237']"
"['2023-07-07', '07:12:15', '130', '236']"
"['2023-07-07', '07:12:16', '112', '234']"
"['2023-07-07', '07:12:17', '78', '239']"
"['2023-07-07', '07:12:18', '79', '238']"
"['2023-07-07', '07:12:19', '79', '237']"
"['2023-07-07', '07:12:20', '151', '311']"
"['2023-07-07', '07:12:21', '109', '268']"
"['2023-07-07', '07:12:22', '87', '234']"
"['2023-07-07', '07:12:23', '214', '370']"
"['2023-07-07', '07:12:24', '79', '236']"
"['2023-07-07', '07:12:26', '269', '0']"
"['2023-07-07', '07:12:26', '78', '234']"
"['2023-07-07', '07:12:27', '157', '313']"
"['2023-07-07', '07:12:28', '77', '234']"
"['2023-07-07', '07:12:29', '110', '284']"
"['2023-07-07', '07:12:30', '97', '267']"
"['2023-07-07', '07:12:32', '87', '234']"
"['2023-07-07', '07:12:33', '244', '401']"
"['2023-07-07', '07:12:34', '231', '387']"
"['2023-07-07', '07:12:35', '89', '235']"
"['2023-07-07', '07:12:36', '78', '235']"
"['2023-07-07', '07:12:37', '76', '235']"
"['2023-07-07', '07:12:38', '78', '235']"
"['2023-07-07', '07:12:39', '77', '235']"
"['2023-07-07', '07:12:40', '84', '243']"
"['2023-07-07', '07:12:41', '76', '237']"
"['2023-07-07', '07:12:42', '77', '239']"
"['2023-07-07', '07:12:43', '76', '236']"
"['2023-07-07', '07:12:44', '76', '235']"
"['2023-07-07', '07:12:45', '77', '235']"
"['2023-07-07', '07:12:46', '119', '235']"
"['2023-07-07', '07:12:47', '77', '235']"
"['2023-07-07', '07:12:48', '77', '236']"
"['2023-07-07', '07:12:49', '78', '238']"
"['2023-07-07', '07:12:50', '87', '234']"
"['2023-07-07', '07:12:51', '121', '276']"
"['2023-07-07', '07:12:52', '79', '234']"
"['2023-07-07', '07:12:53', '78', '235']"
"['2023-07-07', '07:12:54', '77', '235']"
"['2023-07-07', '07:12:55', '78', '236']"
"['2023-07-07', '07:12:56', '77', '234']"
"['2023-07-07', '07:12:57', '81', '235']"
"['2023-07-07', '07:12:58', '78', '233']"
"['2023-07-07', '07:12:59', '80', '234']"
"['2023-07-07', '07:13:00', '79', '237']"
"['2023-07-07', '07:13:01', '102', '250']"
"['2023-07-07', '07:13:02', '82', '234']"
"['2023-07-07', '07:13:03', '78', '236']"
"['2023-07-07', '07:13:04', '77', '235']"
"['2023-07-07', '07:13:05', '90', '235']"
"['2023-07-07', '07:13:06', '79', '234']"
"['2023-07-07', '07:13:07', '78', '235']"
"['2023-07-07', '07:13:08', '77', '235']"
"['2023-07-07', '07:13:09', '78', '234']"
"['2023-07-07', '07:13:10', '86', '245']"
"['2023-07-07', '07:13:11', '77', '234']"
"['2023-07-07', '07:13:12', '78', '238']"
"['2023-07-07', '07:13:13', '77', '235']"
"['2023-07-07', '07:13:14', '79', '236']"
"['2023-07-07', '07:13:15', '114', '285']"
"['2023-07-07', '07:13:16', '82', '234']"
"['2023-07-07', '07:13:17', '78', '243']"
"['2023-07-07', '07:13:18', '77', '234']"
"['2023-07-07', '07:13:19', '87', '236']"
"['2023-07-07', '07:13:21', '0', '0']"
"['2023-07-07', '07:13:21', '76', '233']"
"['2023-07-07', '07:13:22', '87', '246']"
"['2023-07-07', '07:13:23', '79', '234']"
"['2023-07-07', '07:13:24', '77', '235']"
"['2023-07-07', '07:13:25', '80', '236']"
"['2023-07-07', '07:13:26', '77', '234']"
"['2023-07-07', '07:13:27', '77', '235']"
"['2023-07-07', '07:13:28', '79', '235']"
